ID: 0  Имя: Idle

ID: 4  Имя: System
Приоритет: 8  Время запуска: 30.12.2020 9:07:09

ID: 288  Имя: smss
Приоритет: 11  Время запуска: 30.12.2020 9:07:09

ID: 496  Имя: csrss
Приоритет: 13  Время запуска: 30.12.2020 9:07:11

ID: 572  Имя: wininit
Приоритет: 13  Время запуска: 30.12.2020 9:07:13

ID: 588  Имя: csrss
Приоритет: 13  Время запуска: 30.12.2020 9:07:11

ID: 640  Имя: services
Приоритет: 9  Время запуска: 30.12.2020 9:07:13

ID: 664  Имя: winlogon
Приоритет: 13  Время запуска: 30.12.2020 9:07:13

ID: 676  Имя: lsass
Приоритет: 9  Время запуска: 30.12.2020 9:07:13

ID: 684  Имя: lsm
Приоритет: 8  Время запуска: 30.12.2020 9:07:13

ID: 792  Имя: svchost
Приоритет: 8  Время запуска: 30.12.2020 9:07:13

ID: 852  Имя: nvvsvc
Приоритет: 8  Время запуска: 30.12.2020 9:07:14

ID: 892  Имя: svchost
Приоритет: 8  Время запуска: 30.12.2020 9:07:13

ID: 956  Имя: svchost
Приоритет: 8  Время запуска: 30.12.2020 9:07:13

ID: 992  Имя: svchost
Приоритет: 8  Время запуска: 30.12.2020 9:07:13

ID: 1020  Имя: svchost
Приоритет: 8  Время запуска: 30.12.2020 9:07:13

ID: 1056  Имя: svchost
Приоритет: 8  Время запуска: 30.12.2020 9:07:13

ID: 1196  Имя: nvxdsync
Приоритет: 8  Время запуска: 30.12.2020 9:07:15

ID: 1204  Имя: nvvsvc
Приоритет: 8  Время запуска: 30.12.2020 9:07:14

ID: 1396  Имя: QHActiveDefense
Приоритет: 8  Время запуска: 30.12.2020 9:07:16

ID: 1444  Имя: svchost
Приоритет: 8  Время запуска: 30.12.2020 9:07:13

ID: 1644  Имя: spoolsv
Приоритет: 8  Время запуска: 30.12.2020 9:07:17

ID: 1712  Имя: svchost
Приоритет: 8  Время запуска: 30.12.2020 9:07:13

ID: 1848  Имя: armsvc
Приоритет: 8  Время запуска: 30.12.2020 9:07:17

ID: 1880  Имя: AdobeUpdateService
Приоритет: 8  Время запуска: 30.12.2020 9:07:17

ID: 1904  Имя: AGMService
Приоритет: 8  Время запуска: 30.12.2020 9:07:17

ID: 1924  Имя: AGSService
Приоритет: 8  Время запуска: 30.12.2020 9:07:17

ID: 1960  Имя: ASGT
Приоритет: 8  Время запуска: 30.12.2020 9:07:17

ID: 1372  Имя: lkads
Приоритет: 8  Время запуска: 30.12.2020 9:07:17

ID: 1464  Имя: niauth_daemon
Приоритет: 8  Время запуска: 30.12.2020 9:07:17

ID: 1596  Имя: nidmsrv
Приоритет: 8  Время запуска: 30.12.2020 9:07:18

ID: 2096  Имя: NvNetworkService
